                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     74,                 1.2673,                 1.0561,                0.93617,                 1.5281,                 1.4032,                0.91479,                0.72492,                0.51417,                0.65607,                0.34367,                  1.759,                 1.7929,                0.99271,                 1.8975,                 2.1399,                 1.0177,              0.0099287,              0.0099287,              0.0099287
                     75,                 1.2277,                0.97766,                 0.9339,                 1.5009,                 1.3286,                0.92775,                0.67755,                0.55152,                0.59877,                0.31632,                 1.9015,                 1.7693,                 1.0476,                 1.9584,                 2.0169,                 1.0686,              0.0099277,              0.0099277,              0.0099277
                     76,                 1.2198,                0.99066,                0.91889,                 1.5768,                   1.42,                0.90504,                0.48578,                 0.6746,                0.60025,                0.34664,                 1.9242,                  1.841,                 1.0139,                 1.9842,                 2.0951,                 1.0266,              0.0099267,              0.0099267,              0.0099267
                     77,                 1.2454,                0.97291,                0.92143,                 1.4122,                 1.2028,                0.91508,                  0.676,                0.21429,                0.20306,                0.12617,                   1.71,                 2.5562,                0.92779,                 1.6529,                 2.7348,                0.91352,              0.0099258,              0.0099258,              0.0099258
                     78,                 1.2194,                 0.9476,                0.93976,                 1.3876,                 1.2523,                0.94103,                0.83926,                0.07407,                0.07169,                0.03331,                 2.7808,                 3.1471,                 1.3426,                 2.7735,                 3.8051,                 1.2965,              0.0099248,              0.0099248,              0.0099248
                     79,                 1.2489,                0.98117,                0.93982,                 1.4914,                 1.2647,                0.91792,                0.92608,                0.09259,                0.15752,                0.07474,                 3.0594,                 3.3193,                 1.3464,                 2.4379,                 3.4369,                 1.1716,              0.0099238,              0.0099238,              0.0099238
                     80,                 1.1295,                0.86827,                0.90183,                 1.3058,                 1.0604,                0.90012,                0.91059,                0.07407,                0.09495,                0.04289,                 2.9102,                 3.2223,                 1.2664,                 2.4815,                 3.4239,                 1.2115,              0.0099228,              0.0099228,              0.0099228
                     81,                 1.2667,                0.96427,                0.91653,                  1.465,                 1.2249,                0.91059,                 0.7825,                0.01852,                0.03691,                 0.0126,                  3.214,                 3.9218,                 1.4657,                  3.109,                 4.0163,                 1.3615,              0.0099218,              0.0099218,              0.0099218
                     82,                 1.2279,                0.97391,                0.93756,                 1.5681,                 1.3847,                0.92442,                0.71805,                0.23545,                0.33415,                0.19143,                  1.875,                 2.1631,                0.99289,                 1.9012,                 2.4864,                0.99633,              0.0099208,              0.0099208,              0.0099208
                     83,                 1.1729,                 0.9044,                0.93549,                 1.3523,                  1.157,                0.93192,                 0.8281,                0.20598,                0.26986,                0.14887,                 2.2222,                 2.7351,                 1.0759,                 2.1806,                 2.9782,                 1.0493,              0.0099198,              0.0099198,              0.0099198
                     84,                 1.2219,                0.93421,                0.91956,                 1.4956,                 1.1576,                0.91324,                0.77849,                0.07407,                0.16886,                 0.0768,                 2.5799,                 3.2477,                 1.1978,                 2.2246,                 3.4295,                 1.0851,              0.0099188,              0.0099188,              0.0099188
                     85,                  1.198,                0.94345,                0.92468,                 1.4371,                 1.1979,                0.91288,                 0.8149,                0.05556,                0.16437,                0.08234,                 2.3617,                 3.2231,                 1.1901,                 2.0593,                 3.4582,                 1.0727,              0.0099178,              0.0099178,              0.0099178
                     86,                 1.1758,                0.91067,                0.90552,                 1.3556,                 1.1235,                0.91197,                0.01898,                0.34656,                0.19285,                0.09701,                 2.3731,                 3.4118,                 1.2543,                   2.26,                 3.7618,                 1.1861,              0.0099168,              0.0099168,              0.0099168
                     87,                 1.2766,                0.96241,                0.93479,                 1.6156,                 1.3719,                0.91619,                0.80181,                0.03704,                 0.1501,                0.07563,                 2.4262,                 3.2651,                 1.1739,                 2.3387,                 3.5647,                 1.1262,              0.0099159,              0.0099159,              0.0099159
