                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     74,                 1.0083,                0.79249,                 0.8601,                 1.2225,                 1.0875,                0.86136,                0.65697,                0.56777,                0.61313,                0.27462,                 2.0629,                 1.7312,                0.92544,                 2.1914,                 1.6411,                0.87981,              0.0014086,              0.0014086,              0.0014086
                     75,                 1.1229,                0.78342,                0.88043,                 1.4238,                 1.0612,                0.87209,                0.72293,                0.58722,                 0.6832,                0.30414,                 2.0804,                 1.8753,                0.91913,                 2.2288,                 1.5898,                 0.8816,              0.0014083,              0.0014083,              0.0014083
                     76,                 1.1607,                0.88457,                0.86868,                 1.4059,                 1.1494,                0.85919,                0.50887,                0.59716,                 0.6121,                 0.2627,                 2.0673,                 1.7186,                0.94237,                 2.2666,                 1.7179,                0.88634,              0.0014081,              0.0014081,              0.0014081
                     77,                  1.051,                0.77173,                  0.878,                 1.2428,                 1.0007,                0.86414,                0.53141,                0.59153,                0.59884,                0.27176,                 2.0931,                 1.8335,                0.94434,                 2.2379,                 1.8548,                0.89693,              0.0014078,              0.0014078,              0.0014078
                     78,                 1.0194,                0.74779,                 0.8822,                 1.1571,                  1.014,                0.86432,                0.45209,                0.57249,                0.52419,                 0.1888,                 2.2726,                 2.2192,                0.97173,                 2.3365,                 2.1665,                 0.9216,              0.0014075,              0.0014075,              0.0014075
                     79,                  1.154,                0.75601,                0.86448,                 1.3549,                 0.9811,                0.85806,                0.54776,                0.57425,                0.54422,                0.22591,                  2.198,                 2.1606,                 0.9654,                  2.202,                   2.06,                0.90393,              0.0014072,              0.0014072,              0.0014072
                     80,                 1.0433,                0.74897,                0.88245,                 1.2505,                 1.0113,                0.87407,                0.50248,                0.62011,                0.60993,                0.26298,                 2.2114,                 1.6663,                0.91832,                 2.2934,                 1.5575,                0.90709,              0.0014069,              0.0014069,              0.0014069
                     81,                 1.1356,                0.78621,                0.87734,                 1.3099,                 1.0235,                0.87236,                 0.4862,                0.62963,                0.58855,                0.23675,                 2.2671,                 1.7127,                0.91414,                 2.3609,                 1.6029,                0.90965,              0.0014066,              0.0014066,              0.0014066
                     82,                 1.1031,                0.77695,                0.87498,                  1.363,                 1.0079,                0.86171,                0.50179,                0.66667,                0.58158,                0.20048,                  2.319,                 2.0068,                0.94434,                 2.3187,                 1.9789,                0.89636,              0.0014064,              0.0014064,              0.0014064
                     83,                 1.0913,                0.77161,                0.88785,                 1.3774,                  1.062,                0.88102,                0.47343,                0.60952,                0.51444,                 0.1894,                 2.3708,                 1.8711,                0.95308,                 2.3651,                 1.9697,                0.89839,              0.0014061,              0.0014061,              0.0014061
                     84,                0.95277,                0.75047,                0.87659,                 1.1299,                 1.0532,                0.87359,                0.52633,                0.65331,                 0.5922,                0.20428,                 2.2668,                 1.5012,                0.94451,                 2.4964,                 1.7307,                0.91146,              0.0014058,              0.0014058,              0.0014058
                     85,                 1.0058,                0.70967,                0.89316,                 1.2126,                0.97715,                0.89114,                  0.555,                0.63387,                0.61208,                 0.2006,                 2.3058,                 1.5121,                0.95528,                 2.5161,                 1.7759,                0.91481,              0.0014055,              0.0014055,              0.0014055
                     86,                 1.1764,                0.81864,                 1.0492,                 1.3513,                 1.2796,                0.96898,                0.61412,                0.68677,                0.65577,                0.25542,                  2.236,                 1.4409,                0.93245,                 2.2921,                 1.7025,                0.89664,              0.0014052,              0.0014052,              0.0014052
                     87,                  1.123,                0.77965,                0.88609,                 1.4175,                 1.0841,                0.88578,                0.59845,                0.64974,                0.65605,                 0.2642,                 2.1382,                 1.4506,                0.90124,                 2.2391,                 1.7247,                0.89012,              0.0014049,              0.0014049,              0.0014049
